Time,PlayerFish,TotalFish,Self,Cross,Score,Temp
0,1,13,0 (0%),0 (0%),8,28
1,1,13,0 (0%),0 (0%),8,25
2,1,13,0 (0%),0 (0%),8,25
3,4,16,1 (100%),0 (0%),25,26
4,7,19,1 (100%),0 (0%),37,26
5,6,20,1 (100%),0 (0%),30,25
6,9,21,1 (100%),0 (0%),43,25
7,10,20,1 (100%),0 (0%),53,25
8,13,23,1 (100%),0 (0%),57,25
9,12,22,1 (100%),0 (0%),55,25
10,14,24,1 (100%),0 (0%),58,26
11,14,23,1 (100%),0 (0%),61,27
12,13,21,1 (100%),0 (0%),62,28
13,13,20,1 (100%),0 (0%),65,28
14,12,21,1 (100%),0 (0%),57,29
15,12,20,1 (100%),0 (0%),60,29
16,11,19,1 (100%),0 (0%),58,30
17,12,20,1 (100%),0 (0%),60,29
18,14,22,1 (100%),0 (0%),64,29
19,15,23,1 (50%),1 (50%),65,28
20,17,25,1 (50%),1 (50%),68,27
21,17,25,1 (50%),1 (50%),68,27
22,16,24,1 (50%),1 (50%),67,26
23,17,24,1 (50%),1 (50%),71,26
24,18,25,1 (50%),1 (50%),72,26
25,20,27,1 (50%),1 (50%),74,26
26,23,30,1 (50%),1 (50%),77,26
27,23,30,1 (50%),1 (50%),77,25
28,23,30,1 (50%),1 (50%),77,26
29,22,28,1 (50%),1 (50%),79,26
30,22,28,1 (50%),1 (50%),79,26
31,22,28,1 (50%),1 (50%),79,26
32,25,30,1 (50%),1 (50%),83,26
33,25,29,1 (50%),1 (50%),86,27
34,26,30,1 (50%),1 (50%),87,26
35,26,30,1 (50%),1 (50%),87,26
36,25,29,1 (50%),1 (50%),86,27
37,26,30,1 (50%),1 (50%),87,28
38,26,30,1 (50%),1 (50%),87,27
39,25,29,1 (50%),1 (50%),86,27
40,21,25,1 (50%),1 (50%),84,27
41,23,27,1 (50%),1 (50%),85,27
42,26,30,1 (50%),1 (50%),87,28
43,25,29,1 (50%),1 (50%),86,28
44,26,29,1 (50%),1 (50%),90,28
45,25,28,1 (50%),1 (50%),89,28
46,25,27,1 (50%),1 (50%),93,28
47,25,26,1 (50%),1 (50%),96,29
48,25,26,1 (50%),1 (50%),96,28
49,21,22,1 (50%),1 (50%),95,28
50,22,23,2 (67%),1 (33%),96,28
51,17,19,2 (67%),1 (33%),89,29
52,17,19,2 (67%),1 (33%),89,29
53,16,19,2 (67%),1 (33%),89,30
54,18,21,2 (67%),1 (33%),86,30
