Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,7,0 (0%),0 (0%),14
1,1,7,0 (0%),0 (0%),14
2,1,7,0 (0%),0 (0%),14
3,1,7,0 (0%),0 (0%),14
4,1,7,0 (0%),0 (0%),14
5,1,7,0 (0%),0 (0%),14
6,1,6,0 (0%),0 (0%),17
7,1,5,0 (0%),0 (0%),20
8,1,4,0 (0%),0 (0%),25
9,4,7,1 (100%),0 (0%),57
10,4,7,1 (100%),0 (0%),57
11,4,7,1 (100%),0 (0%),57
12,4,10,1 (100%),0 (0%),40
13,4,13,1 (100%),0 (0%),31
14,4,12,1 (100%),0 (0%),33
15,4,12,1 (100%),0 (0%),33
16,4,12,1 (100%),0 (0%),33
17,4,12,1 (100%),0 (0%),33
18,3,11,1 (100%),0 (0%),27
19,3,11,1 (100%),0 (0%),27
20,3,10,1 (100%),0 (0%),30
21,6,13,1 (100%),0 (0%),46
22,6,13,1 (100%),0 (0%),46
23,6,13,1 (100%),0 (0%),46
24,6,12,1 (100%),0 (0%),50
25,6,15,1 (100%),0 (0%),40
26,6,15,1 (100%),0 (0%),40
27,6,15,1 (100%),0 (0%),40
28,6,15,1 (100%),0 (0%),40
29,9,18,1 (100%),0 (0%),50
30,12,21,1 (100%),0 (0%),57
31,12,24,1 (100%),0 (0%),50
32,12,24,1 (100%),0 (0%),50
33,12,24,1 (100%),0 (0%),50
34,12,24,1 (100%),0 (0%),50
35,12,23,1 (100%),0 (0%),52
36,14,24,1 (100%),0 (0%),58
37,14,25,1 (100%),0 (0%),56
38,14,24,1 (100%),0 (0%),58
39,15,25,1 (100%),0 (0%),60
40,15,24,1 (100%),0 (0%),62
41,15,24,1 (100%),0 (0%),62
42,15,24,2 (100%),0 (0%),62
43,15,24,2 (100%),0 (0%),62
44,15,24,2 (100%),0 (0%),62
45,17,25,2 (100%),0 (0%),68
46,17,25,2 (100%),0 (0%),68
47,16,24,2 (100%),0 (0%),67
48,17,25,2 (100%),0 (0%),68
49,19,25,2 (100%),0 (0%),76
50,19,25,2 (100%),0 (0%),76
51,19,25,2 (100%),0 (0%),76
52,19,25,2 (100%),0 (0%),76
53,19,25,2 (100%),0 (0%),76
54,19,25,2 (100%),0 (0%),76
55,16,25,2 (100%),0 (0%),64
56,16,25,2 (100%),0 (0%),64
57,16,25,2 (100%),0 (0%),64
58,16,25,2 (100%),0 (0%),64
59,16,24,2 (100%),0 (0%),67
60,15,24,2 (100%),0 (0%),62
61,18,25,2 (100%),0 (0%),72
62,17,24,2 (100%),0 (0%),71
63,18,25,2 (100%),0 (0%),72
64,21,28,2 (100%),0 (0%),75
65,22,28,2 (100%),0 (0%),79
66,21,27,2 (100%),0 (0%),78
67,21,27,2 (100%),0 (0%),78
68,21,27,2 (100%),0 (0%),78
69,21,27,2 (100%),0 (0%),78
70,21,26,2 (100%),0 (0%),81
71,20,24,2 (100%),0 (0%),83
72,20,24,2 (100%),0 (0%),83
73,23,27,3 (100%),0 (0%),85
74,24,28,3 (100%),0 (0%),86
75,23,27,3 (100%),0 (0%),85
76,24,27,3 (100%),0 (0%),89
77,24,27,3 (100%),0 (0%),89
78,23,26,3 (100%),0 (0%),88
79,25,28,3 (100%),0 (0%),89
80,25,28,3 (100%),0 (0%),89
81,25,28,3 (100%),0 (0%),89
82,21,27,3 (100%),0 (0%),78
83,21,27,3 (100%),0 (0%),78
84,22,27,3 (100%),0 (0%),81
85,21,26,3 (100%),0 (0%),81
86,18,25,3 (100%),0 (0%),72
87,18,25,3 (100%),0 (0%),72
88,18,25,3 (100%),0 (0%),72
89,20,27,3 (100%),0 (0%),74
90,20,27,3 (100%),0 (0%),74
91,19,25,3 (100%),0 (0%),76
92,18,24,3 (100%),0 (0%),75
93,18,23,3 (100%),0 (0%),78
94,18,23,3 (100%),0 (0%),78
95,20,25,3 (100%),0 (0%),80
96,21,25,3 (100%),0 (0%),84
97,20,24,3 (100%),0 (0%),83
98,19,23,3 (100%),0 (0%),83
99,21,24,3 (100%),0 (0%),88
100,19,24,3 (100%),0 (0%),79
101,18,23,3 (100%),0 (0%),78
102,19,24,3 (100%),0 (0%),79
103,18,23,3 (100%),0 (0%),78
104,18,23,3 (100%),0 (0%),78
105,17,24,3 (100%),0 (0%),71
106,17,24,3 (100%),0 (0%),71
107,19,25,3 (100%),0 (0%),76
108,19,25,3 (100%),0 (0%),76
109,20,25,3 (100%),0 (0%),80
110,20,25,3 (100%),0 (0%),80
111,20,25,3 (100%),0 (0%),80
112,21,26,3 (100%),0 (0%),81
113,20,25,3 (100%),0 (0%),80
114,19,23,3 (100%),0 (0%),83
115,19,23,3 (100%),0 (0%),83
116,18,24,3 (100%),0 (0%),75
117,18,24,3 (100%),0 (0%),75
118,18,24,4 (100%),0 (0%),75
119,17,22,4 (100%),0 (0%),77
120,17,22,4 (100%),0 (0%),77
121,20,23,4 (100%),0 (0%),87
122,20,23,4 (100%),0 (0%),87
123,20,23,4 (100%),0 (0%),87
124,20,23,4 (100%),0 (0%),87
125,19,23,4 (100%),0 (0%),83
126,19,23,4 (100%),0 (0%),83
127,18,22,4 (100%),0 (0%),82
128,18,22,4 (100%),0 (0%),82
129,18,22,4 (100%),0 (0%),82
130,18,22,4 (100%),0 (0%),82
131,18,22,4 (100%),0 (0%),82
132,16,20,4 (100%),0 (0%),80
133,16,20,4 (100%),0 (0%),80
134,21,24,4 (100%),0 (0%),88
135,21,24,4 (100%),0 (0%),88
136,21,24,4 (100%),0 (0%),88
137,21,23,4 (100%),0 (0%),91
138,19,24,4 (100%),0 (0%),79
139,22,25,4 (100%),0 (0%),88
140,23,26,5 (100%),0 (0%),88
141,21,24,5 (100%),0 (0%),88
142,21,24,5 (100%),0 (0%),88
143,21,24,5 (100%),0 (0%),88
144,21,24,5 (100%),0 (0%),88
145,21,24,5 (100%),0 (0%),88
146,21,24,5 (100%),0 (0%),88
147,23,26,5 (100%),0 (0%),88
148,21,24,5 (100%),0 (0%),88
149,22,25,5 (100%),0 (0%),88
150,21,24,5 (100%),0 (0%),88
151,21,24,5 (100%),0 (0%),88
152,21,24,5 (100%),0 (0%),88
153,21,24,5 (100%),0 (0%),88
154,21,24,5 (100%),0 (0%),88
155,20,23,5 (100%),0 (0%),87
156,21,24,5 (100%),0 (0%),88
157,22,25,5 (100%),0 (0%),88
158,19,25,5 (100%),0 (0%),76
159,19,25,5 (100%),0 (0%),76
160,19,25,5 (100%),0 (0%),76
161,17,26,5 (100%),0 (0%),65
162,17,26,5 (100%),0 (0%),65
163,18,26,5 (100%),0 (0%),69
164,18,26,5 (100%),0 (0%),69
165,18,26,5 (100%),0 (0%),69
166,18,26,5 (100%),0 (0%),69
167,21,27,6 (100%),0 (0%),78
168,21,27,6 (100%),0 (0%),78
169,19,25,6 (100%),0 (0%),76
170,20,26,6 (100%),0 (0%),77
171,20,26,6 (100%),0 (0%),77
172,20,25,6 (100%),0 (0%),80
173,20,25,6 (100%),0 (0%),80
174,18,22,6 (100%),0 (0%),82
175,18,21,6 (100%),0 (0%),86
176,19,25,6 (100%),0 (0%),76
177,17,25,6 (100%),0 (0%),68
178,17,25,6 (100%),0 (0%),68
179,18,25,6 (100%),0 (0%),72
180,18,25,6 (100%),0 (0%),72
181,18,25,6 (100%),0 (0%),72
182,16,25,6 (100%),0 (0%),64
183,15,24,6 (100%),0 (0%),62
184,14,25,6 (100%),0 (0%),56
185,13,24,6 (100%),0 (0%),54
186,13,24,6 (100%),0 (0%),54
187,13,24,6 (100%),0 (0%),54
188,13,22,6 (100%),0 (0%),59
189,15,24,6 (100%),0 (0%),62
190,15,24,6 (100%),0 (0%),62
191,15,24,6 (100%),0 (0%),62
192,14,23,6 (100%),0 (0%),61
193,10,23,6 (100%),0 (0%),43
194,8,22,6 (100%),0 (0%),36
195,8,22,6 (100%),0 (0%),36
196,10,21,6 (100%),0 (0%),48
197,10,21,6 (100%),0 (0%),48
198,10,20,6 (100%),0 (0%),50
199,10,22,6 (100%),0 (0%),45
200,10,22,6 (100%),0 (0%),45
201,10,22,6 (100%),0 (0%),45
202,10,22,6 (100%),0 (0%),45
203,10,22,6 (100%),0 (0%),45
204,10,21,6 (100%),0 (0%),48
205,10,21,6 (100%),0 (0%),48
206,12,22,6 (100%),0 (0%),55
207,14,23,6 (100%),0 (0%),61
208,15,23,7 (100%),0 (0%),65
209,15,23,7 (100%),0 (0%),65
210,15,23,7 (100%),0 (0%),65
211,16,23,7 (100%),0 (0%),70
212,15,22,7 (100%),0 (0%),68
213,15,22,7 (100%),0 (0%),68
214,15,22,7 (100%),0 (0%),68
215,16,22,7 (100%),0 (0%),73
216,16,22,7 (100%),0 (0%),73
217,16,22,7 (100%),0 (0%),73
218,16,21,7 (100%),0 (0%),76
219,15,22,7 (100%),0 (0%),68
220,15,22,7 (100%),0 (0%),68
221,15,22,7 (100%),0 (0%),68
222,14,21,7 (100%),0 (0%),67
223,14,21,7 (100%),0 (0%),67
224,14,21,7 (100%),0 (0%),67
225,14,20,8 (100%),0 (0%),70
226,14,20,8 (100%),0 (0%),70
227,19,24,8 (100%),0 (0%),79
228,19,24,8 (100%),0 (0%),79
229,18,23,8 (100%),0 (0%),78
230,17,22,8 (100%),0 (0%),77
231,20,25,8 (100%),0 (0%),80
232,20,25,8 (100%),0 (0%),80
233,20,25,8 (100%),0 (0%),80
234,20,26,8 (100%),0 (0%),77
235,21,25,9 (100%),0 (0%),84
236,18,24,9 (100%),0 (0%),75
237,20,26,9 (100%),0 (0%),77
238,19,25,9 (100%),0 (0%),76
