Time,PlayerFish,TotalFish,Self,Cross,Score,Temp
0,1,4,0 (0%),0 (0%),25,23
1,1,4,0 (0%),0 (0%),25,12
2,1,4,0 (0%),0 (0%),25,12
3,1,4,0 (0%),0 (0%),25,12
4,1,4,0 (0%),0 (0%),25,12
5,1,4,0 (0%),0 (0%),25,13
6,1,4,0 (0%),0 (0%),25,13
7,1,4,0 (0%),0 (0%),25,13
8,1,4,0 (0%),0 (0%),25,13
9,1,4,0 (0%),0 (0%),25,13
10,1,4,0 (0%),0 (0%),25,13
11,1,4,0 (0%),0 (0%),25,12
12,1,4,0 (0%),0 (0%),25,12
13,1,4,0 (0%),0 (0%),25,13
14,3,6,1 (100%),0 (0%),50,13
15,2,6,1 (100%),0 (0%),33,13
16,2,6,1 (100%),0 (0%),33,13
17,2,6,1 (100%),0 (0%),33,13
18,2,6,1 (100%),0 (0%),33,12
19,2,6,1 (100%),0 (0%),33,12
