Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,7,0 (0%),0 (0%),14
1,1,7,0 (0%),0 (0%),14
2,1,7,0 (0%),0 (0%),14
3,1,7,0 (0%),0 (0%),14
4,1,7,0 (0%),0 (0%),14
5,1,7,0 (0%),0 (0%),14
6,1,7,0 (0%),0 (0%),14
7,1,6,0 (0%),0 (0%),17
8,1,6,0 (0%),0 (0%),17
9,1,6,0 (0%),0 (0%),17
10,1,6,0 (0%),0 (0%),17
11,1,6,0 (0%),0 (0%),17
12,1,6,0 (0%),0 (0%),17
13,1,6,0 (0%),0 (0%),17
14,1,6,0 (0%),0 (0%),17
15,1,6,0 (0%),0 (0%),17
16,1,5,0 (0%),0 (0%),20
17,1,5,0 (0%),0 (0%),20
18,1,5,0 (0%),0 (0%),20
19,1,8,0 (0%),0 (0%),12
20,1,8,0 (0%),0 (0%),12
21,1,8,0 (0%),0 (0%),12
22,4,11,1 (100%),0 (0%),36
23,4,13,1 (100%),0 (0%),31
24,4,13,1 (100%),0 (0%),31
25,4,13,1 (100%),0 (0%),31
26,3,12,1 (100%),0 (0%),25
27,3,12,1 (100%),0 (0%),25
28,3,12,1 (100%),0 (0%),25
29,3,11,1 (100%),0 (0%),27
30,3,14,1 (100%),0 (0%),21
31,3,14,1 (100%),0 (0%),21
32,3,14,1 (100%),0 (0%),21
33,3,17,1 (100%),0 (0%),18
34,3,17,1 (100%),0 (0%),18
35,3,17,1 (100%),0 (0%),18
36,3,17,1 (100%),0 (0%),18
37,3,17,1 (100%),0 (0%),18
38,3,17,1 (100%),0 (0%),18
39,6,20,1 (100%),0 (0%),30
40,6,23,1 (100%),0 (0%),26
41,6,23,1 (100%),0 (0%),26
42,6,23,1 (100%),0 (0%),26
43,5,25,1 (100%),0 (0%),20
44,5,25,1 (100%),0 (0%),20
45,4,25,1 (100%),0 (0%),16
46,5,25,2 (100%),0 (0%),20
47,5,25,2 (100%),0 (0%),20
48,5,25,2 (100%),0 (0%),20
49,5,25,2 (100%),0 (0%),20
50,5,25,2 (100%),0 (0%),20
51,5,23,2 (100%),0 (0%),22
52,5,24,2 (100%),0 (0%),21
53,5,24,2 (100%),0 (0%),21
54,4,25,2 (100%),0 (0%),16
55,5,25,2 (100%),0 (0%),20
56,4,25,2 (100%),0 (0%),16
57,4,25,2 (100%),0 (0%),16
58,4,25,2 (100%),0 (0%),16
59,7,24,2 (100%),0 (0%),29
60,10,24,3 (100%),0 (0%),42
61,10,24,3 (100%),0 (0%),42
62,9,22,3 (100%),0 (0%),41
63,8,23,3 (100%),0 (0%),35
64,8,23,3 (100%),0 (0%),35
65,8,23,3 (100%),0 (0%),35
66,8,23,3 (100%),0 (0%),35
67,8,23,3 (100%),0 (0%),35
68,7,22,3 (100%),0 (0%),32
69,6,23,3 (100%),0 (0%),26
70,6,22,3 (100%),0 (0%),27
71,6,22,3 (100%),0 (0%),27
72,5,23,3 (100%),0 (0%),22
73,5,24,3 (100%),0 (0%),21
74,5,23,3 (100%),0 (0%),22
75,5,23,3 (100%),0 (0%),22
76,4,22,3 (100%),0 (0%),18
77,4,22,3 (100%),0 (0%),18
78,4,21,3 (100%),0 (0%),19
79,4,21,3 (100%),0 (0%),19
80,4,21,3 (100%),0 (0%),19
81,4,21,3 (100%),0 (0%),19
82,6,23,3 (100%),0 (0%),26
83,6,23,3 (100%),0 (0%),26
84,5,22,3 (100%),0 (0%),23
85,5,21,3 (100%),0 (0%),24
86,5,22,3 (100%),0 (0%),23
87,4,22,3 (100%),0 (0%),18
88,4,22,3 (100%),0 (0%),18
89,3,21,3 (100%),0 (0%),14
90,3,21,3 (100%),0 (0%),14
91,3,21,3 (100%),0 (0%),14
92,4,22,4 (100%),0 (0%),18
93,4,19,4 (100%),0 (0%),21
94,4,18,4 (100%),0 (0%),22
95,6,24,4 (100%),0 (0%),25
96,6,24,4 (100%),0 (0%),25
97,6,24,4 (100%),0 (0%),25
98,6,24,4 (100%),0 (0%),25
99,6,24,4 (100%),0 (0%),25
100,6,24,4 (100%),0 (0%),25
101,4,24,4 (100%),0 (0%),17
102,7,24,4 (100%),0 (0%),29
103,7,24,4 (100%),0 (0%),29
104,5,22,4 (100%),0 (0%),23
105,5,22,4 (100%),0 (0%),23
106,5,24,4 (100%),0 (0%),21
107,5,24,4 (100%),0 (0%),21
108,4,22,4 (100%),0 (0%),18
109,4,23,4 (100%),0 (0%),17
110,4,23,4 (100%),0 (0%),17
111,4,22,4 (100%),0 (0%),18
112,4,23,4 (100%),0 (0%),17
113,6,23,4 (80%),1 (20%),26
114,6,23,4 (80%),1 (20%),26
115,4,23,4 (80%),1 (20%),17
116,3,23,4 (80%),1 (20%),13
117,2,21,4 (80%),1 (20%),10
118,2,20,4 (80%),1 (20%),10
119,2,20,4 (80%),1 (20%),10
120,2,20,4 (80%),1 (20%),10
121,2,22,4 (80%),1 (20%),9
122,2,22,4 (80%),1 (20%),9
123,2,22,4 (80%),1 (20%),9
124,2,22,4 (80%),1 (20%),9
125,2,22,4 (80%),1 (20%),9
126,2,22,4 (80%),1 (20%),9
127,4,22,4 (80%),1 (20%),18
128,4,21,4 (80%),1 (20%),19
129,4,21,4 (80%),1 (20%),19
130,4,22,4 (80%),1 (20%),18
131,4,22,4 (80%),1 (20%),18
132,4,23,4 (80%),1 (20%),17
133,4,22,4 (80%),1 (20%),18
134,4,22,4 (80%),1 (20%),18
135,4,25,4 (80%),1 (20%),16
136,6,25,4 (80%),1 (20%),24
137,6,25,4 (80%),1 (20%),24
138,6,25,4 (80%),1 (20%),24
139,5,26,4 (80%),1 (20%),19
140,5,26,4 (80%),1 (20%),19
141,9,27,5 (83%),1 (17%),33
142,8,28,5 (83%),1 (17%),29
143,8,28,5 (83%),1 (17%),29
144,7,28,5 (83%),1 (17%),25
145,6,28,5 (83%),1 (17%),21
146,6,26,5 (83%),1 (17%),23
147,6,25,5 (83%),1 (17%),24
148,5,24,5 (83%),1 (17%),21
149,5,26,5 (83%),1 (17%),19
150,5,26,5 (83%),1 (17%),19
151,5,26,5 (83%),1 (17%),19
152,7,26,5 (83%),1 (17%),27
153,7,26,5 (83%),1 (17%),27
154,7,26,5 (83%),1 (17%),27
155,6,25,5 (83%),1 (17%),24
156,5,26,5 (83%),1 (17%),19
157,5,26,5 (83%),1 (17%),19
158,6,26,5 (83%),1 (17%),23
159,5,24,5 (83%),1 (17%),21
160,5,25,5 (83%),1 (17%),20
161,4,25,5 (83%),1 (17%),16
162,4,25,5 (83%),1 (17%),16
163,4,25,5 (83%),1 (17%),16
164,4,25,5 (83%),1 (17%),16
165,4,25,5 (83%),1 (17%),16
166,4,25,5 (83%),1 (17%),16
167,3,24,5 (83%),1 (17%),12
168,3,23,5 (83%),1 (17%),13
169,3,23,5 (83%),1 (17%),13
170,2,25,5 (83%),1 (17%),8
171,2,25,5 (83%),1 (17%),8
172,2,25,5 (83%),1 (17%),8
173,2,25,5 (83%),1 (17%),8
174,2,25,5 (83%),1 (17%),8
175,2,25,5 (83%),1 (17%),8
176,2,25,5 (83%),1 (17%),8
177,2,25,5 (83%),1 (17%),8
178,2,23,5 (83%),1 (17%),9
179,2,24,5 (83%),1 (17%),8
180,2,24,5 (83%),1 (17%),8
181,2,24,5 (83%),1 (17%),8
182,2,25,5 (83%),1 (17%),8
183,4,25,6 (86%),1 (14%),16
184,4,25,6 (86%),1 (14%),16
185,4,25,6 (86%),1 (14%),16
186,4,25,6 (86%),1 (14%),16
187,4,23,6 (86%),1 (14%),17
188,4,23,6 (86%),1 (14%),17
189,3,23,6 (86%),1 (14%),13
190,3,20,6 (86%),1 (14%),15
191,3,20,6 (86%),1 (14%),15
192,3,20,6 (86%),1 (14%),15
193,3,20,6 (86%),1 (14%),15
194,3,23,6 (86%),1 (14%),13
195,3,23,6 (86%),1 (14%),13
196,3,24,6 (86%),1 (14%),12
197,3,24,6 (86%),1 (14%),12
198,3,24,6 (86%),1 (14%),12
199,4,23,6 (86%),1 (14%),17
200,3,24,6 (86%),1 (14%),12
201,2,24,6 (86%),1 (14%),8
202,2,22,6 (86%),1 (14%),9
203,2,22,6 (86%),1 (14%),9
204,2,21,6 (86%),1 (14%),10
205,2,21,6 (86%),1 (14%),10
206,2,23,6 (86%),1 (14%),9
207,2,22,6 (86%),1 (14%),9
208,5,23,6 (86%),1 (14%),22
209,5,22,6 (86%),1 (14%),23
210,5,22,6 (86%),1 (14%),23
211,4,25,6 (86%),1 (14%),16
212,4,25,6 (86%),1 (14%),16
213,4,24,6 (86%),1 (14%),17
214,4,24,6 (86%),1 (14%),17
215,4,24,6 (86%),1 (14%),17
216,7,25,7 (88%),1 (12%),28
217,8,27,7 (88%),1 (12%),30
218,8,26,7 (88%),1 (12%),31
219,8,26,7 (88%),1 (12%),31
220,7,25,7 (88%),1 (12%),28
221,7,24,7 (88%),1 (12%),29
222,7,24,7 (88%),1 (12%),29
223,7,24,7 (88%),1 (12%),29
224,10,25,7 (88%),1 (12%),40
225,9,25,7 (88%),1 (12%),36
226,9,26,7 (88%),1 (12%),35
227,9,26,7 (88%),1 (12%),35
228,9,26,7 (88%),1 (12%),35
229,8,24,7 (88%),1 (12%),33
230,7,24,7 (88%),1 (12%),29
231,7,23,7 (88%),1 (12%),30
232,7,23,7 (88%),1 (12%),30
233,7,23,7 (88%),1 (12%),30
234,8,24,7 (88%),1 (12%),33
235,8,25,7 (88%),1 (12%),32
236,8,25,7 (88%),1 (12%),32
237,11,25,7 (88%),1 (12%),44
238,11,26,7 (88%),1 (12%),42
