Time,PlayerFish,TotalFish,Self,Cross,Score,Temp
0,1,5,0 (0%),0 (0%),20,0
1,1,5,0 (0%),0 (0%),20,30
2,4,8,1 (100%),0 (0%),50,30
3,4,8,1 (100%),0 (0%),50,30
4,9,11,1 (100%),0 (0%),82,30
5,12,13,1 (100%),0 (0%),92,30
6,12,13,1 (100%),0 (0%),92,30
7,12,13,1 (100%),0 (0%),92,29
8,14,15,1 (100%),0 (0%),93,29
9,14,15,1 (100%),0 (0%),93,29
10,14,15,1 (100%),0 (0%),93,29
11,14,15,1 (100%),0 (0%),93,29
12,14,15,1 (100%),0 (0%),93,29
13,14,15,1 (100%),0 (0%),93,29
14,14,15,1 (100%),0 (0%),93,30
15,14,15,1 (100%),0 (0%),93,30
16,14,15,1 (100%),0 (0%),93,31
17,14,15,1 (100%),0 (0%),93,31
18,14,15,1 (100%),0 (0%),93,30
19,14,15,2 (100%),0 (0%),93,30
20,14,15,2 (100%),0 (0%),93,30
21,14,15,2 (100%),0 (0%),93,31
22,14,15,2 (100%),0 (0%),93,31
23,14,15,2 (100%),0 (0%),93,31
24,14,15,2 (100%),0 (0%),93,31
25,15,15,2 (100%),0 (0%),100,31
26,15,15,2 (100%),0 (0%),100,30
27,14,14,2 (100%),0 (0%),100,30
28,14,14,2 (100%),0 (0%),100,29
29,15,15,2 (100%),0 (0%),100,29
30,14,14,2 (100%),0 (0%),100,29
31,14,14,2 (100%),0 (0%),100,28
32,15,15,2 (100%),0 (0%),100,28
33,15,15,3 (100%),0 (0%),100,28
34,15,15,3 (100%),0 (0%),100,28
35,15,15,3 (100%),0 (0%),100,28
36,15,15,3 (100%),0 (0%),100,28
37,15,15,3 (100%),0 (0%),100,28
38,15,15,3 (100%),0 (0%),100,29
39,15,15,3 (100%),0 (0%),100,29
40,15,15,3 (100%),0 (0%),100,30
41,15,15,3 (100%),0 (0%),100,30
42,15,15,3 (100%),0 (0%),100,30
43,15,15,3 (100%),0 (0%),100,30
44,15,15,4 (100%),0 (0%),100,30
45,15,15,4 (100%),0 (0%),100,30
46,15,15,4 (100%),0 (0%),100,30
47,15,15,4 (100%),0 (0%),100,30
