Time,PlayerFish,TotalFish,Self,Cross,Score
0,1,7,0 (0%),0 (0%),143
1,1,7,0 (0%),0 (0%),143
2,1,7,0 (0%),0 (0%),143
3,1,7,0 (0%),0 (0%),143
4,1,7,0 (0%),0 (0%),143
5,1,7,0 (0%),0 (0%),143
6,1,6,0 (0%),0 (0%),167
7,1,6,0 (0%),0 (0%),167
8,1,6,0 (0%),0 (0%),167
9,1,6,0 (0%),0 (0%),167
10,1,6,0 (0%),0 (0%),167
11,1,5,0 (0%),0 (0%),200
12,1,5,0 (0%),0 (0%),200
13,4,8,1 (100%),0 (0%),500
14,4,8,1 (100%),0 (0%),500
15,4,8,1 (100%),0 (0%),500
16,4,8,1 (100%),0 (0%),500
17,4,7,1 (100%),0 (0%),571
18,4,7,1 (100%),0 (0%),571
19,4,7,1 (100%),0 (0%),571
20,4,7,1 (100%),0 (0%),571
21,4,10,1 (100%),0 (0%),400
22,4,10,1 (100%),0 (0%),400
23,4,10,1 (100%),0 (0%),400
24,4,10,1 (100%),0 (0%),400
25,4,9,1 (100%),0 (0%),444
26,4,9,1 (100%),0 (0%),444
27,4,9,1 (100%),0 (0%),444
28,4,9,1 (100%),0 (0%),444
29,4,9,1 (100%),0 (0%),444
30,4,9,1 (100%),0 (0%),444
31,7,12,2 (100%),0 (0%),583
32,10,14,2 (100%),0 (0%),714
33,10,14,2 (100%),0 (0%),714
34,10,14,2 (100%),0 (0%),714
35,10,14,2 (100%),0 (0%),714
36,10,14,2 (100%),0 (0%),714
37,12,19,2 (100%),0 (0%),632
38,12,19,2 (100%),0 (0%),632
39,12,19,2 (100%),0 (0%),632
40,12,19,2 (100%),0 (0%),632
41,12,18,2 (100%),0 (0%),667
42,12,18,2 (100%),0 (0%),667
43,12,18,2 (100%),0 (0%),667
44,15,21,2 (100%),0 (0%),714
45,14,20,2 (100%),0 (0%),700
46,18,24,3 (100%),0 (0%),750
47,17,21,3 (100%),0 (0%),810
48,19,23,3 (100%),0 (0%),826
49,20,23,3 (100%),0 (0%),870
50,20,22,3 (100%),0 (0%),909
51,19,21,3 (100%),0 (0%),905
52,19,21,3 (100%),0 (0%),905
53,17,22,3 (100%),0 (0%),773
54,20,24,3 (100%),0 (0%),833
55,20,24,3 (100%),0 (0%),833
56,19,23,3 (100%),0 (0%),826
57,19,23,3 (100%),0 (0%),826
58,19,23,3 (100%),0 (0%),826
59,20,24,3 (100%),0 (0%),833
60,20,24,3 (100%),0 (0%),833
61,20,24,3 (100%),0 (0%),833
62,21,25,3 (100%),0 (0%),840
63,21,25,3 (100%),0 (0%),840
64,23,25,3 (100%),0 (0%),920
65,23,25,3 (100%),0 (0%),920
66,23,25,3 (100%),0 (0%),920
67,23,25,3 (100%),0 (0%),920
68,23,25,3 (100%),0 (0%),920
69,24,26,4 (100%),0 (0%),923
70,25,27,4 (100%),0 (0%),926
71,24,26,4 (100%),0 (0%),923
72,24,26,4 (100%),0 (0%),923
73,24,26,4 (100%),0 (0%),923
74,24,26,4 (100%),0 (0%),923
75,24,26,4 (100%),0 (0%),923
76,24,26,4 (100%),0 (0%),923
77,25,27,4 (100%),0 (0%),926
78,23,27,4 (100%),0 (0%),852
79,23,27,4 (100%),0 (0%),852
80,23,27,4 (100%),0 (0%),852
81,23,27,4 (100%),0 (0%),852
82,23,27,4 (100%),0 (0%),852
83,23,26,4 (100%),0 (0%),885
84,23,26,4 (100%),0 (0%),885
85,28,29,5 (100%),0 (0%),966
86,28,29,5 (100%),0 (0%),966
87,28,29,5 (100%),0 (0%),966
88,27,28,5 (100%),0 (0%),964
89,27,28,5 (100%),0 (0%),964
90,27,28,5 (100%),0 (0%),964
91,27,28,5 (100%),0 (0%),964
92,27,28,5 (100%),0 (0%),964
93,27,28,5 (100%),0 (0%),964
94,26,27,5 (100%),0 (0%),963
95,27,28,6 (100%),0 (0%),964
96,27,28,6 (100%),0 (0%),964
97,27,28,6 (100%),0 (0%),964
98,28,29,6 (100%),0 (0%),966
99,28,29,6 (100%),0 (0%),966
100,27,28,6 (100%),0 (0%),964
101,26,27,6 (100%),0 (0%),963
102,28,29,6 (100%),0 (0%),966
103,28,29,6 (100%),0 (0%),966
104,28,29,6 (100%),0 (0%),966
105,25,26,6 (100%),0 (0%),962
106,25,26,6 (100%),0 (0%),962
107,24,25,6 (100%),0 (0%),960
108,24,25,6 (100%),0 (0%),960
109,26,27,6 (100%),0 (0%),963
110,25,25,6 (100%),0 (0%),1000
111,25,25,6 (100%),0 (0%),1000
112,25,25,6 (100%),0 (0%),1000
113,24,24,6 (100%),0 (0%),1000
114,27,27,6 (100%),0 (0%),1000
115,28,28,6 (100%),0 (0%),1000
116,28,28,6 (100%),0 (0%),1000
117,28,28,6 (100%),0 (0%),1000
118,27,27,6 (100%),0 (0%),1000
119,27,27,6 (100%),0 (0%),1000
120,28,28,6 (100%),0 (0%),1000
121,28,28,6 (100%),0 (0%),1000
122,27,27,6 (100%),0 (0%),1000
123,27,27,6 (100%),0 (0%),1000
124,29,29,6 (100%),0 (0%),1000
125,27,27,6 (100%),0 (0%),1000
126,27,27,6 (100%),0 (0%),1000
127,26,26,6 (100%),0 (0%),1000
128,25,25,6 (100%),0 (0%),1000
129,22,22,6 (100%),0 (0%),1000
130,24,24,6 (100%),0 (0%),1000
131,24,24,6 (100%),0 (0%),1000
132,25,25,6 (100%),0 (0%),1000
133,25,25,6 (100%),0 (0%),1000
134,25,25,7 (100%),0 (0%),1000
135,25,25,7 (100%),0 (0%),1000
136,25,25,7 (100%),0 (0%),1000
